company_id,name,origin,type,market_cap_class,us_sanction_status,key_advantage
NVDA,NVIDIA,USA,GPU & Platform,Mega (>$1T),None,"Dominant CUDA ecosystem, high-speed NVLink interconnect, complete AI stack"
AMD,AMD,USA,GPU & Platform,Large ($100B-$500B),None,"CDNA chiplet architecture, high-capacity HBM3e, ROCm open software stack"
INTC,Intel,USA,ASIC & Platform,Medium ($50B-$100B),None,"Gaudi dedicated ASIC architecture, built-in Ethernet, cost-effective scaling"
GOOG,Google,USA,ASIC (Hyperscaler),Mega (>$1T),None,"TPU architecture, JAX/XLA vertical integration, ultra-scale optical switching"
AMZN,Amazon (AWS),USA,ASIC (Hyperscaler),Mega (>$1T),None,"Trainium/Inferentia optimized for AWS cloud, Neuron SDK, Nitro integration"
MSFT,Microsoft,USA,ASIC (Hyperscaler),Mega (>$1T),None,"Azure Maia optimized for Copilot and Azure OpenAI inference, deep software integration"
META,Meta,USA,ASIC (Hyperscaler),Mega (>$1T),None,"MTIA optimized for recommendation workloads, PyTorch integration, low TDP"
TSLA,Tesla,USA,ASIC (In-house),Large ($500B-$1T),None,"Dojo for FSD training, AI5 edge chip for vehicles & humanoid robotics, high efficiency"
GROQ,Groq,USA,ASIC (Start-up),Small (<$10B),None,"LPU deterministic SRAM architecture, extremely low latency, compiled compiler-scheduled execution"
CBRS,Cerebras,USA,Wafer-Scale ASIC,Small (<$10B),None,"Wafer-Scale Engine (WSE), massive on-chip SRAM capacity and bandwidth, CS-3 system simplicity"
HW,Huawei (华为),China,ASIC & Platform,Large (Private),Entity List,"Da Vinci architecture, CANN software stack, strong Chinese domestic cloud market share"
CBC,Cambricon (寒武纪),China,ASIC,Small (<$10B),Entity List,"MLU-Link interconnect, NeuWare software toolchain, domestic server deployments"
BR,Biren (壁仞科技),China,GPU,Small (<$10B),Entity List,"Bi Liren chiplet architecture, high FP32 vector compute, domestic enterprise market"
MX,Muxi (沐曦集成电路),China,GPU,Small (<$10B),None,"MetaX architecture, CUDA compatibility, MXN/MXC dual-track for inference & training"
